,Poste,Nationalité,Date de naissance,Âge,Taille,Poids,Club actuel,Dernière saison,Poste simplifié,IMC,Poste prédit
Kamil Syprzak,Pivot,Pologne,27/07/1991,33.0,207.0,117.0,Paris,,Pivot,27.30518798571729,Pivot
Tom Pelayo,Arrière Droit,France,23/02/1997,27.0,189.0,95.0,Dunkerque,,Arrière,26.595000139973685,Arrière
Gabriel Loesch,Ailier Droit,France,12/07/1995,29.0,182.0,73.0,Aix,,Ailier,22.03840115928028,Ailier
Chema Marquez,Demi Centre,Espagne,20/12/1996,28.0,187.0,94.0,Saint-Raphaël,,Demi Centre,26.88095170007721,Arrière
Nemanja Ilic,Ailier Gauche,Serbie,11/05/1990,34.0,177.0,76.0,Toulouse,,Ailier,24.25867407194612,Ailier
Benjamin Richert,Ailier Droit,France,18/04/1998,26.0,187.0,76.0,Chambéry,,Ailier,21.7335354170837,Ailier
Valero Rivera,Ailier Gauche,Espagne,22/02/1985,39.0,186.0,83.0,Nantes,,Ailier,23.991212856977683,Ailier
Ian Tarrafeta,Demi Centre,Espagne,04/01/1999,25.0,188.0,88.0,Aix,,Demi Centre,24.898143956541425,Demi Centre
Elohim Prandi,Arrière Gauche,France,24/08/1998,26.0,193.0,101.0,Paris,,Arrière,27.114821874412737,Pivot
Mario Lopez Alvarez,Ailier Droit,Espagne,19/09/1994,30.0,178.0,81.0,Créteil,,Ailier,25.5649539199596,Ailier
Ayyoub Abdi,Arrière Droit,Algérie,16/02/1997,27.0,197.0,98.0,Nantes,,Arrière,25.25187456517818,Arrière
Aymeric Minne,Demi Centre,France,20/04/1997,27.0,187.0,85.0,Nantes,,Demi Centre,24.307243558580453,Ailier
Robin Molinie,Arrière Gauche,France,15/09/1990,34.0,190.0,85.0,Cesson-Rennes,,Arrière,23.545706371191137,Arrière
Cornelius Kragh,Arrière Gauche,Danemark,05/05/1995,29.0,194.0,98.0,Dunkerque,,Arrière,26.03889892655968,Arrière
Pierrick Naudin,Arrière Gauche,France,20/12/1989,35.0,191.0,84.0,Dijon,,Arrière,23.025684602944,Arrière
Dragan Gajic,Ailier Droit,Slovénie,21/07/1984,40.0,188.0,85.0,Limoges,2023 / 2024,Ailier,24.049343594386603,Demi Centre
Ihor Turchenko,Arrière Gauche,Ukraine,04/12/2000,24.0,193.0,90.0,Limoges,,Arrière,24.161722462347985,Arrière
Antonin Mohamed,Ailier Gauche,France,16/02/1999,25.0,182.0,74.0,Saran,,Ailier,22.34029706557179,Ailier
Erwin Feuchtmann,Arrière Gauche,Chili,02/05/1990,34.0,195.0,102.0,Toulouse,,Arrière,26.824457593688365,Arrière
Lucas Pellas,Ailier Gauche,Suède,28/08/1995,29.0,184.0,79.0,Montpellier,,Ailier,23.334120982986768,Ailier
Alejandro Barbeito,Demi Centre,Espagne,08/08/2001,23.0,182.0,85.0,Créteil,,Demi Centre,25.661152034778407,Ailier
Gonçalo Vieira,Arrière Gauche,Portugal,27/04/1999,25.0,194.0,95.0,Toulouse,,Arrière,25.241789775746625,Arrière
Raphaël Caucheteux,Ailier Gauche,France,09/05/1985,39.0,198.0,94.0,Saint-Raphaël,,Ailier,23.9771451892664,Arrière
Micke Brasseleur,Arrière Droit,France,16/04/1993,31.0,197.0,97.0,Saint-Raphaël,,Arrière,24.994202375737583,Arrière
Gueric Vincent,Ailier Gauche,France,18/08/2002,22.0,180.0,85.0,Nîmes,,Ailier,26.234567901234566,Demi Centre
Alejandro Costoya,Arrière Gauche,Espagne,06/05/1993,31.0,193.0,99.0,Chambéry,,Arrière,26.577894708582782,Arrière
Mohammad Sanad,Ailier Droit,Égypte,16/01/1991,33.0,185.0,88.0,Nîmes,,Ailier,25.712198685171657,Ailier
Drevy Paschal,Ailier Gauche,France,16/07/2001,23.0,194.0,82.0,Saint-Raphaël,,Ailier,21.787650122223404,Arrière
William Accambray,Arrière Gauche,France,08/04/1988,36.0,194.0,108.0,Saran,,Arrière,28.69592942926985,Pivot
Sebastian Karlsson,Ailier Droit,France,21/01/1995,29.0,178.0,80.0,Montpellier,,Ailier,25.24933720489837,Ailier
Luka Radovic,Ailier Droit,Monténégro,29/12/1997,26.0,180.0,80.0,Saran,,Ailier,24.69135802469136,Ailier
Jordi Deumal,Ailier Gauche,Espagne,14/01/1994,30.0,194.0,83.0,Granollers,,Ailier,22.053353172494425,Arrière
Jean-loup Faustin,Demi Centre,France,23/03/1995,29.0,185.0,88.0,Dunkerque,,Demi Centre,25.712198685171657,Ailier
Yvan Verin,Arrière Gauche,France,09/09/2000,24.0,188.0,94.0,Chartres,,Arrière,26.595744680851062,Arrière
Luc Steins,Demi Centre,Pays-Bas,22/03/1995,29.0,173.0,73.0,Paris,,Demi Centre,24.3910588392529,Ailier
Vanja Ilic,Ailier Gauche,Serbie,25/02/1993,31.0,186.0,81.0,Chartres,,Ailier,23.41311134235172,Ailier
Hugo Monte,Arrière Gauche,Brésil,06/04/2003,21.0,193.0,92.0,Montpellier,,Arrière,24.69864962817794,Arrière
Johannes Marescot,Pivot,France,04/04/1994,30.0,194.0,106.0,Saint-Raphaël,,Pivot,28.16452332872781,Pivot
Julien Bos,Arrière Droit,France,18/08/1998,26.0,188.0,85.0,Nantes,,Arrière,24.049343594386603,Demi Centre
Aymeric Zaepfel,Demi Centre,France,03/10/2001,23.0,189.0,92.0,Ivry,,Demi Centre,25.755158030290307,Arrière
Théo Monar,Pivot,France,06/06/2001,23.0,198.0,95.0,Nantes,2023 / 2024,Pivot,24.23222120191817,Arrière
Pau Oliveras,Arrière Gauche,Espagne,11/12/1998,26.0,185.0,86.0,Saran,,Arrière,25.127830533235937,Ailier
Seif Elderaa,Demi Centre,Égypte,19/09/1998,26.0,187.0,82.0,Limoges,,Demi Centre,23.449340844748203,Ailier
Gaël Tribillon,Ailier Gauche,France,02/03/1998,26.0,175.0,78.0,Chartres,,Ailier,25.46938775510204,Ailier
Francisco De Almeida Tavares,Ailier Droit,Portugal,14/11/1996,28.0,180.0,83.0,Ivry,,Ailier,25.61728395061728,Demi Centre
David Iglesias,Arrière Gauche,Espagne,25/12/1998,26.0,192.0,90.0,Tremblay,,Arrière,24.4140625,Arrière
Sergiy Onufriyenko,Arrière Droit,Ukraine,31/01/1985,39.0,190.0,90.0,Chartres,2023 / 2024,Arrière,24.930747922437675,Arrière
Thibaud Briet,Arrière Gauche,France,14/12/1999,25.0,205.0,95.0,Nantes,,Arrière,22.605591909577637,Arrière
Kylian Rigault,Arrière Gauche,France,12/11/2000,24.0,190.0,82.0,Tremblay,,Arrière,22.71468144044321,Arrière
Dorde Dekic,Demi Centre,Serbie,28/08/1993,31.0,189.0,90.0,Créteil,,Demi Centre,25.195263290501387,Arrière
Junior Tuzolana,Ailier Gauche,France,27/05/1997,27.0,189.0,85.0,Cesson-Rennes,,Ailier,23.79552644102909,Arrière
Antoine Tissot,Ailier Droit,France,30/07/2001,23.0,177.0,80.0,Aix,,Ailier,25.53544639152223,Ailier
Mohab Abdelhak,Arrière Droit,Égypte,20/01/2003,21.0,191.0,88.0,Nîmes,,Arrière,24.12214577451276,Arrière
Messaoud Berkous,Arrière Gauche,Algérie,20/07/1989,35.0,194.0,97.0,Dijon,2023 / 2024,Arrière,25.77319587628866,Arrière
Steeven Bois,Demi Centre,France,29/10/1994,30.0,185.0,85.0,Nancy,,Demi Centre,24.83564645726808,Ailier
Mathieu Salou,Arrière Droit,France,26/05/2000,24.0,202.0,95.0,Cesson-Rennes,,Arrière,23.28203117341437,Arrière
Valentin Aman,Pivot,France,26/07/1991,33.0,186.0,90.0,Créteil,,Pivot,26.01456815816857,Ailier
Gustavo Rodrigues,Arrière Droit,Brésil,09/04/1995,29.0,190.0,90.0,Chambéry,,Arrière,24.930747922437675,Arrière
Valentin Porte,Arrière Droit,France,07/09/1990,34.0,190.0,94.0,Montpellier,,Arrière,26.038781163434905,Arrière
Adrien Vergely,Pivot,France,14/09/1996,28.0,191.0,104.0,Chambéry,,Pivot,28.50799046078781,Pivot
Kent Robin Tonnesen,Arrière Droit,Norvège,05/06/1991,33.0,195.0,102.0,Paris,,Arrière,26.824457593688365,Arrière
Quentin Minel,Arrière Gauche,France,03/09/1992,32.0,189.0,98.0,Chartres,,Arrière,27.434842249657063,Arrière
Casper Kall,Demi Centre,Suède,26/11/2000,24.0,186.0,72.0,Toulouse,,Demi Centre,20.811654526534856,Ailier
Théo Avelange Demouge,Ailier Droit,France,11/03/1996,28.0,183.0,78.0,Nantes,,Ailier,23.291229956104985,Ailier
Jean-jacques Acquevillo,Arrière Gauche,France,17/01/1989,35.0,195.0,100.0,Nîmes,,Arrière,26.298487836949377,Arrière
Steve Marie-joseph,Ailier Gauche,France,03/01/1994,30.0,185.0,91.0,Dunkerque,,Ailier,26.588750913075238,Demi Centre
Tomislav Kusan,Pivot,Croatie,16/12/1994,30.0,201.0,110.0,Limoges,,Pivot,27.227048835424878,Pivot
Ferran Sole,Ailier Droit,Espagne,25/08/1992,32.0,193.0,84.0,Paris,,Ailier,22.55094096485812,Arrière
Bastien Khermouche,Pivot,France,10/11/1993,31.0,192.0,100.0,Dijon,,Pivot,27.12673611111111,Pivot
Florian Billant,Ailier Droit,France,07/07/1996,28.0,186.0,88.0,Dunkerque,,Ailier,25.4364666435426,Ailier
Queido Traore,Ailier Gauche,France,15/10/1994,30.0,185.0,90.0,Chambéry,,Ailier,26.29656683710737,Demi Centre
Ludwig Appolinaire,Demi Centre,France,27/05/1994,30.0,191.0,101.0,Cesson-Rennes,,Demi Centre,27.68564458211124,Pivot
Edouard Kempf,Ailier Droit,France,20/03/1998,26.0,178.0,81.0,Toulouse,,Ailier,25.5649539199596,Ailier
David Balaguer,Ailier Droit,Espagne,17/08/1991,33.0,185.0,93.0,Paris,,Ailier,27.173119065010955,Pivot
Matej Hrstic,Arrière Gauche,Croatie,11/08/1996,28.0,195.0,85.0,Limoges,,Arrière,22.35371466140697,Arrière
Clément Damiani,Arrière Droit,France,29/09/1998,26.0,195.0,94.0,Saran,,Arrière,24.720578566732414,Arrière
Romain Lagarde,Arrière Gauche,France,05/03/1997,27.0,194.0,85.0,Aix,,Arrière,22.58475927303645,Arrière
Angel Fernandez Perez,Ailier Gauche,Espagne,16/09/1988,36.0,192.0,86.0,Limoges,2023 / 2024,Ailier,23.32899305555556,Arrière
Romuald Kolle,Arrière Gauche,France,16/12/1992,32.0,190.0,90.0,Saran,,Arrière,24.930747922437675,Arrière
Loïs Pasquet,Ailier Gauche,France,08/09/1999,25.0,185.0,86.0,Dijon,,Ailier,25.127830533235937,Ailier
Diego Simonet,Demi Centre,Argentine,26/12/1989,35.0,189.0,88.0,Montpellier,,Demi Centre,24.635368550712467,Demi Centre
Ewan Kervadec,Arrière Droit,France,15/07/1998,26.0,192.0,88.0,Limoges,,Arrière,23.87152777777778,Arrière
Léo Martinez,Demi Centre,France,26/12/1993,31.0,188.0,82.0,Ivry,2023 / 2024,Demi Centre,23.20054323223178,Demi Centre
Luc Tobie,Arrière Droit,France,24/06/1988,36.0,190.0,84.0,Nîmes,,Arrière,23.26869806094183,Arrière
Hugo Jund,Pivot,France,07/07/2001,23.0,193.0,95.0,Chartres,,Pivot,25.50404037692287,Arrière
Jorge Maqueda Peno,Arrière Droit,Espagne,06/02/1988,36.0,197.0,102.0,Nantes,2023 / 2024,Arrière,26.282563322940558,Arrière
Sime Ivic,Arrière Droit,Croatie,21/01/1993,31.0,196.0,97.0,Limoges,,Arrière,25.249895876718035,Arrière
Arthur Lenne,Pivot,France,02/05/2001,23.0,194.0,95.0,Montpellier,,Pivot,25.241789775746625,Arrière
Youenn Cardinal,Ailier Droit,France,16/02/1994,30.0,189.0,81.0,Cesson-Rennes,,Ailier,22.67573696145125,Demi Centre
Xavier Labigang,Ailier Gauche,France,04/10/1996,28.0,183.0,83.0,Cesson-Rennes,,Ailier,24.78425751739377,Ailier
Hugo Brouzet,Pivot,France,22/04/1999,25.0,206.0,110.0,Aix,,Pivot,25.921387501178245,Pivot
Yannis Mancelle,Ailier Droit,France,13/11/1990,34.0,182.0,77.0,Caen,,Ailier,23.24598478444632,Ailier
Bruno Butorac,Arrière Droit,Croatie,01/10/1994,30.0,189.0,90.0,Créteil,,Arrière,25.195263290501387,Demi Centre
Simon Ooms,Pivot,Belgique,18/04/1994,30.0,200.0,95.0,Ivry,2023 / 2024,Pivot,23.75,Arrière
Aleksa Kolaković,Demi Centre,Serbie,10/08/1997,27.0,189.0,100.0,Pau Billère,,Demi Centre,27.994736989445983,Demi Centre
Axel Oppedisano,Pivot,France,22/12/1996,28.0,185.0,100.0,Cesson-Rennes,,Pivot,29.218407596785973,Arrière
Yanis Lenne,Ailier Droit,France,29/06/1996,28.0,187.0,87.0,Montpellier,,Ailier,24.879178701135288,Demi Centre
Yassine Ben Salem,Arrière Droit,Tunisie,03/11/2003,21.0,190.0,85.0,Chartres,,Arrière,23.545706371191137,Arrière
Sebastian Skube,Demi Centre,Slovénie,03/04/1987,37.0,189.0,87.0,Chambéry,,Demi Centre,24.35542118081801,Demi Centre
Tom Robyns,Demi Centre,Belgique,14/05/1991,33.0,192.0,80.0,Saran,2023 / 2024,Demi Centre,21.70138888888889,Arrière
Jacob Tandrup Holm,Arrière Gauche,Danemark,05/09/1995,29.0,194.0,95.0,Paris,,Arrière,25.241789775746625,Arrière
Adrian Figueras,Pivot,Espagne,31/08/1988,36.0,193.0,95.0,Chartres,,Pivot,25.50404037692287,Arrière
Florian Delecroix,Arrière Droit,France,17/03/1994,30.0,197.0,95.0,Saran,,Arrière,24.4788579968564,Arrière
Shuichi Yoshida,Pivot,Japon,26/03/2001,23.0,193.0,110.0,Nantes,,Pivot,29.53099412064753,Pivot
Ruben Marchan Criado,Pivot,Espagne,20/09/1994,30.0,204.0,120.0,Paris,,Pivot,28.835063437139564,Arrière
Mathis Jaffiol,Ailier Droit,France,16/11/2002,22.0,183.0,81.0,Dijon,,Ailier,24.187046492878256,Ailier
Ronaldo Almeida,Arrière Droit,France,20/08/2002,22.0,196.0,110.0,Ivry,,Arrière,28.633902540608084,Pivot
Nicolas Nieto,Pivot,France,06/04/1994,30.0,195.0,111.0,Limoges,,Pivot,29.19132149901381,Pivot
Kyllian Villeminot,Demi Centre,France,20/05/1998,26.0,189.0,86.0,Montpellier,,Demi Centre,24.075473810923548,Arrière
Veron Nacinovic,Pivot,Croatie,07/03/2000,24.0,204.0,109.0,Montpellier,,Pivot,26.191849288735103,Pivot
Benjamin Afgour,Pivot,France,01/04/1991,33.0,195.0,105.0,Dunkerque,,Pivot,27.613412228796847,Pivot
Samuel Deen,Ailier Gauche,France,16/09/1999,25.0,188.0,79.0,Créteil,,Ailier,22.35174287007696,Ailier
Valentin Bzdynga,Ailier Droit,France,19/07/2002,22.0,184.0,71.0,Chartres,,Ailier,20.97117202268431,Ailier
Stas Skube,Demi Centre,Slovénie,15/11/1989,35.0,179.0,83.0,Montpellier,,Demi Centre,25.90431010268094,Ailier
Lucas Petit,Ailier Droit,France,04/09/1999,25.0,180.0,75.0,Saran,,Ailier,23.148148148148145,Ailier
Arnau Garcia,Arrière Gauche,Espagne,12/06/1994,30.0,195.0,92.0,Ivry,,Arrière,24.194608809993422,Arrière
Matthieu Ong,Ailier Gauche,France,12/07/1992,32.0,180.0,70.0,Aix,,Ailier,21.604938271604937,Ailier
Jure Dolenec,Arrière Droit,Slovénie,06/12/1988,36.0,190.0,94.0,Limoges,2023 / 2024,Arrière,26.038781163434905,Arrière
Gautier Loredon,Pivot,France,15/10/2002,22.0,200.0,103.0,Paris,,Pivot,25.75,Arrière
Nikola Karabatic,Demi Centre,France,11/04/1984,40.0,196.0,103.0,Paris,2023 / 2024,Demi Centre,26.81174510620575,Arrière
Kauldi Odriozola Yeregui,Ailier Droit,Espagne,07/01/1997,27.0,182.0,85.0,Nantes,,Ailier,25.661152034778407,Ailier
Mathéo Briffe,Arrière Gauche,France,05/01/2001,23.0,190.0,85.0,Cesson-Rennes,,Arrière,23.545706371191137,Arrière
Théophile Causse,Ailier Droit,France,12/10/1992,32.0,179.0,72.0,Cesson-Rennes,,Ailier,22.47120876377142,Ailier
Jonathan Mapu,Pivot,France,10/03/1998,26.0,181.0,103.0,Saint-Raphaël,,Pivot,31.43982173926315,Arrière
Arthur Pecaud,Ailier Gauche,France,13/08/1999,25.0,185.0,85.0,Saran,,Ailier,24.83564645726808,Ailier
Per Maximilliam Jonsson,Arrière Droit,Suède,12/10/1989,35.0,195.0,103.0,Tremblay,,Arrière,27.08744247205786,Arrière
Jesper Jorgensen,Arrière Droit,Danemark,23/03/1994,30.0,191.0,90.0,Ivry,2023 / 2024,Arrière,24.67037636029714,Arrière
Fredric Pettersson,Pivot,Suède,11/02/1989,35.0,202.0,115.0,Toulouse,2023 / 2024,Pivot,28.183511420448976,Pivot
Svetlin Dimitrov,Ailier Droit,Bulgarie,05/11/1990,34.0,183.0,83.0,Chartres,,Ailier,24.78425751739377,Ailier
Edgar Dentz,Pivot,France,19/03/1998,26.0,195.0,107.0,Cesson-Rennes,,Pivot,28.139381985535834,Pivot
Sergey Kudinov,Demi Centre,Russie,29/06/1991,33.0,196.0,97.0,Chartres,,Demi Centre,25.249895876718035,Arrière
Alexandre Cavalcanti,Arrière Gauche,Portugal,27/12/1996,27.0,203.0,102.0,Nantes,2023 / 2024,Arrière,24.75187459050208,Arrière
Romaric Guillo,Pivot,France,01/10/1991,33.0,207.0,111.0,Cesson-Rennes,,Pivot,25.904921935167685,Pivot
Kristjan Kristjansson,Arrière Droit,Islande,25/12/1997,27.0,192.0,92.0,Aix,2023 / 2024,Arrière,24.95659722222222,Arrière
Jesper Konradsson,Demi Centre,Suède,04/06/1994,30.0,184.0,90.0,Nîmes,,Demi Centre,26.583175803402646,Ailier
Jaime Fernandez,Ailier Gauche,Espagne,27/01/1997,27.0,176.0,72.0,Montpellier,,Ailier,23.243801652892564,Ailier
Gabriel Nyembo,Pivot,France,16/06/1997,27.0,190.0,106.0,Toulouse,,Pivot,29.362880886426595,Pivot
Tom Poyet,Pivot,France,29/11/1999,25.0,187.0,84.0,Nîmes,,Pivot,24.021275987303035,Ailier
Jules Lignières,Demi Centre,France,15/08/1998,26.0,179.0,80.0,Frontignan,,Demi Centre,24.9680097375238,Ailier
Marc Poletti,Pivot,France,06/06/1985,39.0,192.0,102.0,Dijon,2023 / 2024,Pivot,27.669270833333336,Pivot
Maxime Ogando,Ailier Gauche,France,02/04/1999,25.0,183.0,75.0,Limoges,,Ailier,22.39541341933172,Ailier
Julien Rebichon,Ailier Gauche,France,18/10/1988,36.0,179.0,79.0,Nîmes,,Ailier,24.65590961580475,Ailier
Jason Muel,Pivot,France,07/03/2000,24.0,197.0,105.0,Créteil,,Pivot,27.055579891262337,Pivot
Dylan Garain,Arrière Gauche,France,22/08/1996,28.0,195.0,100.0,Ivry,2023 / 2024,Arrière,26.298487836949377,Arrière
Arthur Anquetil,Ailier Gauche,France,23/07/1995,29.0,182.0,80.0,Chambéry,,Ailier,24.151672503320853,Ailier
Mathieu Grebille,Ailier Gauche,France,06/10/1991,33.0,198.0,97.0,Paris,,Ailier,24.742373227221712,Arrière
O'brian Nyateu,Demi Centre,France,07/11/1992,32.0,188.0,99.0,Dunkerque,,Demi Centre,28.010411951109106,Arrière
Iosu Goni,Arrière Gauche,Espagne,01/04/1990,34.0,193.0,103.0,Chambéry,,Arrière,27.65174904024269,Pivot
Adrien Dipanda,Arrière Droit,France,03/05/1988,36.0,202.0,107.0,Saint-Raphaël,2023 / 2024,Arrière,26.22291932163513,Pivot
Dominik Mathe,Arrière Droit,Hongrie,01/04/1999,25.0,201.0,108.0,Paris,2023 / 2024,Arrière,26.73201158387169,Pivot
Dylan Tossin,Ailier Gauche,France,10/03/2001,23.0,183.0,80.0,Dunkerque,,Ailier,23.888440980620494,Ailier
Diogo Borges Da Silva,Arrière Droit,Portugal,02/10/1998,26.0,198.0,102.0,Aix,2023 / 2024,Arrière,26.017753290480563,Arrière
Baptiste Damatrin,Ailier Gauche,France,29/04/2000,24.0,177.0,81.0,Nantes,2023 / 2024,Ailier,25.854639471416256,Ailier
Milos Bozovic,Arrière Gauche,Monténégro,10/12/1994,30.0,200.0,103.0,Ivry,2023 / 2024,Arrière,25.75,Pivot
